Product,;,Material,;,Material virgem (V),;,Materiais recuperados EoL (Rr),;,Waste produzido na reciclagem (Wc),;,Waste total produzido (W),;,Waste radioactivo (Wr),;,Materiais reciclados (R) (+ Burden Free) (-cr),;,Energia necessária para produção das matérias/produtos principais,;,Energia necessária para produção das matérias/produtos secundário,;,Waste na produção de materiais (Wf) - ws,;,Input de Valor Reciclado (Ri) - fr,;,Massa (V+Ri),;,Tempo de Vida Útil (anos)/Vida útil em média (anos),;,Utilidade do Produto (U) - nº utilizações/Média (anos),;,f(x),;,LFI,;,MCIp,;,MCI Total
Garrafa,;,polyethylene terephthalate (PET) granulate,;,247.0,;,103.15,;,40.11,;,143.85,;,0.0,;,-143.26,;,1.28,;,0.58,;,103.74,;,0.0,;,247.0,;,1.0,;,1.0,;,0.9,;,0.7433222711409906,;,0.33100995597310845,;,0.30573948255065714
Garrafa,;,Low-density polyethylene (LD-PE),;,730.0,;,270.98,;,152.4,;,459.02,;,0.0,;,-423.4,;,1.36,;,0.58,;,306.0,;,0.0,;,730.0,;,1.0,;,1.0,;,0.9,;,0.7736985944820406,;,0.3036712649661635,;,0.30573948255065714
Garrafa,;,adhesive PUR,;,23.0,;,0.0,;,9.66,;,23.0,;,0.0,;,-13.34,;,1.72,;,0.58,;,9.66,;,0.0,;,23.0,;,1.0,;,1.0,;,0.9,;,1.0,;,0.09999999999999998,;,0.30573948255065714
